issue number,date,number,place1,place2,place3,day of week,year,month,day,,,,,,,,,,,,,,,
2804,2010/3/4,334,3,3,4,Thursday,2010,3,4,,,,,,,,,,,,,,,
2805,2010/3/5,66,0,6,6,Friday,2010,3,5,,,,,,,,,,,,,,,
2806,2010/3/8,117,1,1,7,Monday,2010,3,8,,,,,,,,,,,,,,,
2807,2010/3/9,640,6,4,0,Tuesday,2010,3,9,,,,,,,,,,,,,,,
2808,2010/3/10,848,8,4,8,Wednesday,2010,3,10,,,,,,,,,,,,,,,
2809,2010/3/11,484,4,8,4,Thursday,2010,3,11,,,,,,,,,,,,,,,
2810,2010/3/12,527,5,2,7,Friday,2010,3,12,,,,,,,,,,,,,,,
2811,2010/3/15,157,1,5,7,Monday,2010,3,15,,,,,,,,,,,,,,,
2812,2010/3/16,443,4,4,3,Tuesday,2010,3,16,,,,,,,,,,,,,,,
2813,2010/3/17,714,7,1,4,Wednesday,2010,3,17,,,,,,,,,,,,,,,
2814,2010/3/18,921,9,2,1,Thursday,2010,3,18,,,,,,,,,,,,,,,
2815,2010/3/19,810,8,1,0,Friday,2010,3,19,,,,,,,,,,,,,,,
2816,2010/3/22,507,5,0,7,Monday,2010,3,22,,,,,,,,,,,,,,,
2817,2010/3/23,999,9,9,9,Tuesday,2010,3,23,,,,,,,,,,,,,,,
2818,2010/3/24,986,9,8,6,Wednesday,2010,3,24,,,,,,,,,,,,,,,
2819,2010/3/25,229,2,2,9,Thursday,2010,3,25,,,,,,,,,,,,,,,
2820,2010/3/26,860,8,6,0,Friday,2010,3,26,,,,,,,,,,,,,,,
2821,2010/3/29,659,6,5,9,Monday,2010,3,29,,,,,,,,,,,,,,,
2822,2010/3/30,463,4,6,3,Tuesday,2010,3,30,,,,,,,,,,,,,,,
2823,2010/3/31,698,6,9,8,Wednesday,2010,3,31,,,,,,,,,,,,,,,
2824,2010/4/1,862,8,6,2,Thursday,2010,4,1,,,,,,,,,,,,,,,
2825,2010/4/2,848,8,4,8,Friday,2010,4,2,,,,,,,,,,,,,,,
2826,2010/4/5,258,2,5,8,Monday,2010,4,5,,,,,,,,,,,,,,,
2827,2010/4/6,638,6,3,8,Tuesday,2010,4,6,,,,,,,,,,,,,,,
2828,2010/4/7,448,4,4,8,Wednesday,2010,4,7,,,,,,,,,,,,,,,
2829,2010/4/8,643,6,4,3,Thursday,2010,4,8,,,,,,,,,,,,,,,
2830,2010/4/9,629,6,2,9,Friday,2010,4,9,,,,,,,,,,,,,,,
2831,2010/4/12,696,6,9,6,Monday,2010,4,12,,,,,,,,,,,,,,,
2832,2010/4/13,354,3,5,4,Tuesday,2010,4,13,,,,,,,,,,,,,,,
2833,2010/4/14,618,6,1,8,Wednesday,2010,4,14,,,,,,,,,,,,,,,
2834,2010/4/15,815,8,1,5,Thursday,2010,4,15,,,,,,,,,,,,,,,
2835,2010/4/16,558,5,5,8,Friday,2010,4,16,,,,,,,,,,,,,,,
2836,2010/4/19,420,4,2,0,Monday,2010,4,19,,,,,,,,,,,,,,,
2837,2010/4/20,265,2,6,5,Tuesday,2010,4,20,,,,,,,,,,,,,,,
2838,2010/4/21,304,3,0,4,Wednesday,2010,4,21,,,,,,,,,,,,,,,
2839,2010/4/22,928,9,2,8,Thursday,2010,4,22,,,,,,,,,,,,,,,
2840,2010/4/23,142,1,4,2,Friday,2010,4,23,,,,,,,,,,,,,,,
2841,2010/4/26,954,9,5,4,Monday,2010,4,26,,,,,,,,,,,,,,,
2842,2010/4/27,368,3,6,8,Tuesday,2010,4,27,,,,,,,,,,,,,,,
2843,2010/4/28,802,8,0,2,Wednesday,2010,4,28,,,,,,,,,,,,,,,
2844,2010/4/29,371,3,7,1,Thursday,2010,4,29,,,,,,,,,,,,,,,
2845,2010/4/30,108,1,0,8,Friday,2010,4,30,,,,,,,,,,,,,,,
2846,2010/5/3,802,8,0,2,Monday,2010,5,3,,,,,,,,,,,,,,,
2847,2010/5/4,916,9,1,6,Tuesday,2010,5,4,,,,,,,,,,,,,,,
2848,2010/5/5,948,9,4,8,Wednesday,2010,5,5,,,,,,,,,,,,,,,
2849,2010/5/6,41,0,4,1,Thursday,2010,5,6,,,,,,,,,,,,,,,
2850,2010/5/7,752,7,5,2,Friday,2010,5,7,,,,,,,,,,,,,,,
2851,2010/5/10,227,2,2,7,Monday,2010,5,10,,,,,,,,,,,,,,,
2852,2010/5/11,162,1,6,2,Tuesday,2010,5,11,,,,,,,,,,,,,,,
2853,2010/5/12,93,0,9,3,Wednesday,2010,5,12,,,,,,,,,,,,,,,
2854,2010/5/13,949,9,4,9,Thursday,2010,5,13,,,,,,,,,,,,,,,
2855,2010/5/14,428,4,2,8,Friday,2010,5,14,,,,,,,,,,,,,,,
2856,2010/5/17,427,4,2,7,Monday,2010,5,17,,,,,,,,,,,,,,,
2857,2010/5/18,832,8,3,2,Tuesday,2010,5,18,,,,,,,,,,,,,,,
2858,2010/5/19,514,5,1,4,Wednesday,2010,5,19,,,,,,,,,,,,,,,
2859,2010/5/20,919,9,1,9,Thursday,2010,5,20,,,,,,,,,,,,,,,
2860,2010/5/21,803,8,0,3,Friday,2010,5,21,,,,,,,,,,,,,,,
2861,2010/5/24,17,0,1,7,Monday,2010,5,24,,,,,,,,,,,,,,,
2862,2010/5/25,786,7,8,6,Tuesday,2010,5,25,,,,,,,,,,,,,,,
2863,2010/5/26,417,4,1,7,Wednesday,2010,5,26,,,,,,,,,,,,,,,
2864,2010/5/27,169,1,6,9,Thursday,2010,5,27,,,,,,,,,,,,,,,
2865,2010/5/28,589,5,8,9,Friday,2010,5,28,,,,,,,,,,,,,,,
2866,2010/5/31,182,1,8,2,Monday,2010,5,31,,,,,,,,,,,,,,,
2867,2010/6/1,727,7,2,7,Tuesday,2010,6,1,,,,,,,,,,,,,,,
2868,2010/6/2,520,5,2,0,Wednesday,2010,6,2,,,,,,,,,,,,,,,
2869,2010/6/3,567,5,6,7,Thursday,2010,6,3,,,,,,,,,,,,,,,
2870,2010/6/4,951,9,5,1,Friday,2010,6,4,,,,,,,,,,,,,,,
2871,2010/6/7,895,8,9,5,Monday,2010,6,7,,,,,,,,,,,,,,,
2872,2010/6/8,882,8,8,2,Tuesday,2010,6,8,,,,,,,,,,,,,,,
2873,2010/6/9,998,9,9,8,Wednesday,2010,6,9,,,,,,,,,,,,,,,
2874,2010/6/10,328,3,2,8,Thursday,2010,6,10,,,,,,,,,,,,,,,
2875,2010/6/11,239,2,3,9,Friday,2010,6,11,,,,,,,,,,,,,,,
2876,2010/6/14,999,9,9,9,Monday,2010,6,14,,,,,,,,,,,,,,,
2877,2010/6/15,313,3,1,3,Tuesday,2010,6,15,,,,,,,,,,,,,,,
2878,2010/6/16,168,1,6,8,Wednesday,2010,6,16,,,,,,,,,,,,,,,
2879,2010/6/17,30,0,3,0,Thursday,2010,6,17,,,,,,,,,,,,,,,
2880,2010/6/18,27,0,2,7,Friday,2010,6,18,,,,,,,,,,,,,,,
2881,2010/6/21,606,6,0,6,Monday,2010,6,21,,,,,,,,,,,,,,,
2882,2010/6/22,549,5,4,9,Tuesday,2010,6,22,,,,,,,,,,,,,,,
2883,2010/6/23,91,0,9,1,Wednesday,2010,6,23,,,,,,,,,,,,,,,
2884,2010/6/24,554,5,5,4,Thursday,2010,6,24,,,,,,,,,,,,,,,
2885,2010/6/25,89,0,8,9,Friday,2010,6,25,,,,,,,,,,,,,,,
2886,2010/6/28,505,5,0,5,Monday,2010,6,28,,,,,,,,,,,,,,,
2887,2010/6/29,554,5,5,4,Tuesday,2010,6,29,,,,,,,,,,,,,,,
2888,2010/6/30,497,4,9,7,Wednesday,2010,6,30,,,,,,,,,,,,,,,
2889,2010/7/1,104,1,0,4,Thursday,2010,7,1,,,,,,,,,,,,,,,
2890,2010/7/2,23,0,2,3,Friday,2010,7,2,,,,,,,,,,,,,,,
2891,2010/7/5,458,4,5,8,Monday,2010,7,5,,,,,,,,,,,,,,,
2892,2010/7/6,274,2,7,4,Tuesday,2010,7,6,,,,,,,,,,,,,,,
2893,2010/7/7,458,4,5,8,Wednesday,2010,7,7,,,,,,,,,,,,,,,
2894,2010/7/8,824,8,2,4,Thursday,2010,7,8,,,,,,,,,,,,,,,
2895,2010/7/9,287,2,8,7,Friday,2010,7,9,,,,,,,,,,,,,,,
2896,2010/7/12,867,8,6,7,Monday,2010,7,12,,,,,,,,,,,,,,,
2897,2010/7/13,105,1,0,5,Tuesday,2010,7,13,,,,,,,,,,,,,,,
2898,2010/7/14,890,8,9,0,Wednesday,2010,7,14,,,,,,,,,,,,,,,
2899,2010/7/15,731,7,3,1,Thursday,2010,7,15,,,,,,,,,,,,,,,
2900,2010/7/16,395,3,9,5,Friday,2010,7,16,,,,,,,,,,,,,,,
2901,2010/7/19,523,5,2,3,Monday,2010,7,19,,,,,,,,,,,,,,,
2902,2010/7/20,883,8,8,3,Tuesday,2010,7,20,,,,,,,,,,,,,,,
2903,2010/7/21,548,5,4,8,Wednesday,2010,7,21,,,,,,,,,,,,,,,
2904,2010/7/22,223,2,2,3,Thursday,2010,7,22,,,,,,,,,,,,,,,
2905,2010/7/23,551,5,5,1,Friday,2010,7,23,,,,,,,,,,,,,,,
2906,2010/7/26,396,3,9,6,Monday,2010,7,26,,,,,,,,,,,,,,,
2907,2010/7/27,216,2,1,6,Tuesday,2010,7,27,,,,,,,,,,,,,,,
2908,2010/7/28,793,7,9,3,Wednesday,2010,7,28,,,,,,,,,,,,,,,
2909,2010/7/29,827,8,2,7,Thursday,2010,7,29,,,,,,,,,,,,,,,
2910,2010/7/30,990,9,9,0,Friday,2010,7,30,,,,,,,,,,,,,,,
2911,2010/8/2,539,5,3,9,Monday,2010,8,2,,,,,,,,,,,,,,,
2912,2010/8/3,14,0,1,4,Tuesday,2010,8,3,,,,,,,,,,,,,,,
2913,2010/8/4,828,8,2,8,Wednesday,2010,8,4,,,,,,,,,,,,,,,
2914,2010/8/5,673,6,7,3,Thursday,2010,8,5,,,,,,,,,,,,,,,
2915,2010/8/6,11,0,1,1,Friday,2010,8,6,,,,,,,,,,,,,,,
2916,2010/8/9,76,0,7,6,Monday,2010,8,9,,,,,,,,,,,,,,,
2917,2010/8/10,403,4,0,3,Tuesday,2010,8,10,,,,,,,,,,,,,,,
2918,2010/8/11,54,0,5,4,Wednesday,2010,8,11,,,,,,,,,,,,,,,
2919,2010/8/12,607,6,0,7,Thursday,2010,8,12,,,,,,,,,,,,,,,
2920,2010/8/13,424,4,2,4,Friday,2010,8,13,,,,,,,,,,,,,,,
2921,2010/8/16,232,2,3,2,Monday,2010,8,16,,,,,,,,,,,,,,,
2922,2010/8/17,193,1,9,3,Tuesday,2010,8,17,,,,,,,,,,,,,,,
2923,2010/8/18,931,9,3,1,Wednesday,2010,8,18,,,,,,,,,,,,,,,
2924,2010/8/19,633,6,3,3,Thursday,2010,8,19,,,,,,,,,,,,,,,
2925,2010/8/20,92,0,9,2,Friday,2010,8,20,,,,,,,,,,,,,,,
2926,2010/8/23,530,5,3,0,Monday,2010,8,23,,,,,,,,,,,,,,,
2927,2010/8/24,553,5,5,3,Tuesday,2010,8,24,,,,,,,,,,,,,,,
2928,2010/8/25,371,3,7,1,Wednesday,2010,8,25,,,,,,,,,,,,,,,
2929,2010/8/26,199,1,9,9,Thursday,2010,8,26,,,,,,,,,,,,,,,
2930,2010/8/27,54,0,5,4,Friday,2010,8,27,,,,,,,,,,,,,,,
2931,2010/8/30,296,2,9,6,Monday,2010,8,30,,,,,,,,,,,,,,,
2932,2010/8/31,551,5,5,1,Tuesday,2010,8,31,,,,,,,,,,,,,,,
2933,2010/9/1,698,6,9,8,Wednesday,2010,9,1,,,,,,,,,,,,,,,
2934,2010/9/2,496,4,9,6,Thursday,2010,9,2,,,,,,,,,,,,,,,
2935,2010/9/3,685,6,8,5,Friday,2010,9,3,,,,,,,,,,,,,,,
2936,2010/9/6,7,0,0,7,Monday,2010,9,6,,,,,,,,,,,,,,,
2937,2010/9/7,736,7,3,6,Tuesday,2010,9,7,,,,,,,,,,,,,,,
2938,2010/9/8,257,2,5,7,Wednesday,2010,9,8,,,,,,,,,,,,,,,
2939,2010/9/9,119,1,1,9,Thursday,2010,9,9,,,,,,,,,,,,,,,
2940,2010/9/10,221,2,2,1,Friday,2010,9,10,,,,,,,,,,,,,,,
2941,2010/9/13,393,3,9,3,Monday,2010,9,13,,,,,,,,,,,,,,,
2942,2010/9/14,257,2,5,7,Tuesday,2010,9,14,,,,,,,,,,,,,,,
2943,2010/9/15,884,8,8,4,Wednesday,2010,9,15,,,,,,,,,,,,,,,
2944,2010/9/16,442,4,4,2,Thursday,2010,9,16,,,,,,,,,,,,,,,
2945,2010/9/17,961,9,6,1,Friday,2010,9,17,,,,,,,,,,,,,,,
2946,2010/9/20,475,4,7,5,Monday,2010,9,20,,,,,,,,,,,,,,,
2947,2010/9/21,155,1,5,5,Tuesday,2010,9,21,,,,,,,,,,,,,,,
2948,2010/9/22,376,3,7,6,Wednesday,2010,9,22,,,,,,,,,,,,,,,
2949,2010/9/23,663,6,6,3,Thursday,2010,9,23,,,,,,,,,,,,,,,
2950,2010/9/24,619,6,1,9,Friday,2010,9,24,,,,,,,,,,,,,,,
2951,2010/9/27,188,1,8,8,Monday,2010,9,27,,,,,,,,,,,,,,,
2952,2010/9/28,72,0,7,2,Tuesday,2010,9,28,,,,,,,,,,,,,,,
2953,2010/9/29,214,2,1,4,Wednesday,2010,9,29,,,,,,,,,,,,,,,
2954,2010/9/30,618,6,1,8,Thursday,2010,9,30,,,,,,,,,,,,,,,
2955,2010/10/1,433,4,3,3,Friday,2010,10,1,,,,,,,,,,,,,,,
2956,2010/10/4,496,4,9,6,Monday,2010,10,4,,,,,,,,,,,,,,,
2957,2010/10/5,196,1,9,6,Tuesday,2010,10,5,,,,,,,,,,,,,,,
2958,2010/10/6,296,2,9,6,Wednesday,2010,10,6,,,,,,,,,,,,,,,
2959,2010/10/7,581,5,8,1,Thursday,2010,10,7,,,,,,,,,,,,,,,
2960,2010/10/8,936,9,3,6,Friday,2010,10,8,,,,,,,,,,,,,,,
2961,2010/10/11,870,8,7,0,Monday,2010,10,11,,,,,,,,,,,,,,,
2962,2010/10/12,915,9,1,5,Tuesday,2010,10,12,,,,,,,,,,,,,,,
2963,2010/10/13,851,8,5,1,Wednesday,2010,10,13,,,,,,,,,,,,,,,
2964,2010/10/14,722,7,2,2,Thursday,2010,10,14,,,,,,,,,,,,,,,
2965,2010/10/15,368,3,6,8,Friday,2010,10,15,,,,,,,,,,,,,,,
2966,2010/10/18,680,6,8,0,Monday,2010,10,18,,,,,,,,,,,,,,,
2967,2010/10/19,435,4,3,5,Tuesday,2010,10,19,,,,,,,,,,,,,,,
2968,2010/10/20,611,6,1,1,Wednesday,2010,10,20,,,,,,,,,,,,,,,
2969,2010/10/21,704,7,0,4,Thursday,2010,10,21,,,,,,,,,,,,,,,
2970,2010/10/22,932,9,3,2,Friday,2010,10,22,,,,,,,,,,,,,,,
2971,2010/10/25,228,2,2,8,Monday,2010,10,25,,,,,,,,,,,,,,,
2972,2010/10/26,207,2,0,7,Tuesday,2010,10,26,,,,,,,,,,,,,,,
2973,2010/10/27,227,2,2,7,Wednesday,2010,10,27,,,,,,,,,,,,,,,
2974,2010/10/28,666,6,6,6,Thursday,2010,10,28,,,,,,,,,,,,,,,
2975,2010/10/29,254,2,5,4,Friday,2010,10,29,,,,,,,,,,,,,,,
2976,2010/11/1,204,2,0,4,Monday,2010,11,1,,,,,,,,,,,,,,,
2977,2010/11/2,880,8,8,0,Tuesday,2010,11,2,,,,,,,,,,,,,,,
2978,2010/11/3,895,8,9,5,Wednesday,2010,11,3,,,,,,,,,,,,,,,
2979,2010/11/4,624,6,2,4,Thursday,2010,11,4,,,,,,,,,,,,,,,
2980,2010/11/5,676,6,7,6,Friday,2010,11,5,,,,,,,,,,,,,,,
2981,2010/11/8,742,7,4,2,Monday,2010,11,8,,,,,,,,,,,,,,,
2982,2010/11/9,503,5,0,3,Tuesday,2010,11,9,,,,,,,,,,,,,,,
2983,2010/11/10,279,2,7,9,Wednesday,2010,11,10,,,,,,,,,,,,,,,
2984,2010/11/11,692,6,9,2,Thursday,2010,11,11,,,,,,,,,,,,,,,
2985,2010/11/12,719,7,1,9,Friday,2010,11,12,,,,,,,,,,,,,,,
2986,2010/11/15,656,6,5,6,Monday,2010,11,15,,,,,,,,,,,,,,,
2987,2010/11/16,139,1,3,9,Tuesday,2010,11,16,,,,,,,,,,,,,,,
2988,2010/11/17,703,7,0,3,Wednesday,2010,11,17,,,,,,,,,,,,,,,
2989,2010/11/18,697,6,9,7,Thursday,2010,11,18,,,,,,,,,,,,,,,
2990,2010/11/19,345,3,4,5,Friday,2010,11,19,,,,,,,,,,,,,,,
2991,2010/11/22,272,2,7,2,Monday,2010,11,22,,,,,,,,,,,,,,,
2992,2010/11/23,153,1,5,3,Tuesday,2010,11,23,,,,,,,,,,,,,,,
2993,2010/11/24,448,4,4,8,Wednesday,2010,11,24,,,,,,,,,,,,,,,
2994,2010/11/25,731,7,3,1,Thursday,2010,11,25,,,,,,,,,,,,,,,
2995,2010/11/26,897,8,9,7,Friday,2010,11,26,,,,,,,,,,,,,,,
2996,2010/11/29,920,9,2,0,Monday,2010,11,29,,,,,,,,,,,,,,,
2997,2010/11/30,852,8,5,2,Tuesday,2010,11,30,,,,,,,,,,,,,,,
2998,2010/12/1,355,3,5,5,Wednesday,2010,12,1,,,,,,,,,,,,,,,
2999,2010/12/2,551,5,5,1,Thursday,2010,12,2,,,,,,,,,,,,,,,
3000,2010/12/3,206,2,0,6,Friday,2010,12,3,,,,,,,,,,,,,,,
3001,2010/12/6,971,9,7,1,Monday,2010,12,6,,,,,,,,,,,,,,,
3002,2010/12/7,947,9,4,7,Tuesday,2010,12,7,,,,,,,,,,,,,,,
3003,2010/12/8,583,5,8,3,Wednesday,2010,12,8,,,,,,,,,,,,,,,
3004,2010/12/9,74,0,7,4,Thursday,2010,12,9,,,,,,,,,,,,,,,
3005,2010/12/10,943,9,4,3,Friday,2010,12,10,,,,,,,,,,,,,,,
3006,2010/12/13,180,1,8,0,Monday,2010,12,13,,,,,,,,,,,,,,,
3007,2010/12/14,435,4,3,5,Tuesday,2010,12,14,,,,,,,,,,,,,,,
3008,2010/12/15,393,3,9,3,Wednesday,2010,12,15,,,,,,,,,,,,,,,
3009,2010/12/16,665,6,6,5,Thursday,2010,12,16,,,,,,,,,,,,,,,
3010,2010/12/17,69,0,6,9,Friday,2010,12,17,,,,,,,,,,,,,,,
3011,2010/12/20,810,8,1,0,Monday,2010,12,20,,,,,,,,,,,,,,,
3012,2010/12/21,554,5,5,4,Tuesday,2010,12,21,,,,,,,,,,,,,,,
3013,2010/12/22,819,8,1,9,Wednesday,2010,12,22,,,,,,,,,,,,,,,
3014,2010/12/23,16,0,1,6,Thursday,2010,12,23,,,,,,,,,,,,,,,
3015,2010/12/24,157,1,5,7,Friday,2010,12,24,,,,,,,,,,,,,,,
3016,2010/12/27,384,3,8,4,Monday,2010,12,27,,,,,,,,,,,,,,,
3017,2010/12/28,176,1,7,6,Tuesday,2010,12,28,,,,,,,,,,,,,,,
3018,2010/12/29,749,7,4,9,Wednesday,2010,12,29,,,,,,,,,,,,,,,
3019,2010/12/30,349,3,4,9,Thursday,2010,12,30,,,,,,,,,,,,,,,
3020,2011/1/4,534,5,3,4,Tuesday,2011,1,4,,,,,,,,,,,,,,,
3021,2011/1/5,692,6,9,2,Wednesday,2011,1,5,,,,,,,,,,,,,,,
3022,2011/1/6,880,8,8,0,Thursday,2011,1,6,,,,,,,,,,,,,,,
3023,2011/1/7,775,7,7,5,Friday,2011,1,7,,,,,,,,,,,,,,,
3024,2011/1/10,975,9,7,5,Monday,2011,1,10,,,,,,,,,,,,,,,
3025,2011/1/11,757,7,5,7,Tuesday,2011,1,11,,,,,,,,,,,,,,,
3026,2011/1/12,282,2,8,2,Wednesday,2011,1,12,,,,,,,,,,,,,,,
3027,2011/1/13,798,7,9,8,Thursday,2011,1,13,,,,,,,,,,,,,,,
3028,2011/1/14,449,4,4,9,Friday,2011,1,14,,,,,,,,,,,,,,,
3029,2011/1/17,525,5,2,5,Monday,2011,1,17,,,,,,,,,,,,,,,
3030,2011/1/18,691,6,9,1,Tuesday,2011,1,18,,,,,,,,,,,,,,,
3031,2011/1/19,424,4,2,4,Wednesday,2011,1,19,,,,,,,,,,,,,,,
3032,2011/1/20,353,3,5,3,Thursday,2011,1,20,,,,,,,,,,,,,,,
3033,2011/1/21,923,9,2,3,Friday,2011,1,21,,,,,,,,,,,,,,,
3034,2011/1/24,193,1,9,3,Monday,2011,1,24,,,,,,,,,,,,,,,
3035,2011/1/25,269,2,6,9,Tuesday,2011,1,25,,,,,,,,,,,,,,,
3036,2011/1/26,99,0,9,9,Wednesday,2011,1,26,,,,,,,,,,,,,,,
3037,2011/1/27,479,4,7,9,Thursday,2011,1,27,,,,,,,,,,,,,,,
3038,2011/1/28,222,2,2,2,Friday,2011,1,28,,,,,,,,,,,,,,,
3039,2011/1/31,819,8,1,9,Monday,2011,1,31,,,,,,,,,,,,,,,
3040,2011/2/1,110,1,1,0,Tuesday,2011,2,1,,,,,,,,,,,,,,,
3041,2011/2/2,594,5,9,4,Wednesday,2011,2,2,,,,,,,,,,,,,,,
3042,2011/2/3,327,3,2,7,Thursday,2011,2,3,,,,,,,,,,,,,,,
3043,2011/2/4,761,7,6,1,Friday,2011,2,4,,,,,,,,,,,,,,,
3044,2011/2/7,628,6,2,8,Monday,2011,2,7,,,,,,,,,,,,,,,
3045,2011/2/8,166,1,6,6,Tuesday,2011,2,8,,,,,,,,,,,,,,,
3046,2011/2/9,576,5,7,6,Wednesday,2011,2,9,,,,,,,,,,,,,,,
3047,2011/2/10,841,8,4,1,Thursday,2011,2,10,,,,,,,,,,,,,,,
3048,2011/2/11,946,9,4,6,Friday,2011,2,11,,,,,,,,,,,,,,,
3049,2011/2/14,457,4,5,7,Monday,2011,2,14,,,,,,,,,,,,,,,
3050,2011/2/15,47,0,4,7,Tuesday,2011,2,15,,,,,,,,,,,,,,,
3051,2011/2/16,205,2,0,5,Wednesday,2011,2,16,,,,,,,,,,,,,,,
3052,2011/2/17,263,2,6,3,Thursday,2011,2,17,,,,,,,,,,,,,,,
3053,2011/2/18,80,0,8,0,Friday,2011,2,18,,,,,,,,,,,,,,,
3054,2011/2/21,8,0,0,8,Monday,2011,2,21,,,,,,,,,,,,,,,
3055,2011/2/22,402,4,0,2,Tuesday,2011,2,22,,,,,,,,,,,,,,,
3056,2011/2/23,374,3,7,4,Wednesday,2011,2,23,,,,,,,,,,,,,,,
3057,2011/2/24,4,0,0,4,Thursday,2011,2,24,,,,,,,,,,,,,,,
3058,2011/2/25,475,4,7,5,Friday,2011,2,25,,,,,,,,,,,,,,,
3059,2011/2/28,345,3,4,5,Monday,2011,2,28,,,,,,,,,,,,,,,
3060,2011/3/1,82,0,8,2,Tuesday,2011,3,1,,,,,,,,,,,,,,,
3061,2011/3/2,331,3,3,1,Wednesday,2011,3,2,,,,,,,,,,,,,,,
3062,2011/3/3,806,8,0,6,Thursday,2011,3,3,,,,,,,,,,,,,,,
3063,2011/3/4,545,5,4,5,Friday,2011,3,4,,,,,,,,,,,,,,,
3064,2011/3/7,976,9,7,6,Monday,2011,3,7,,,,,,,,,,,,,,,
3065,2011/3/8,152,1,5,2,Tuesday,2011,3,8,,,,,,,,,,,,,,,
3066,2011/3/9,215,2,1,5,Wednesday,2011,3,9,,,,,,,,,,,,,,,
3067,2011/3/10,724,7,2,4,Thursday,2011,3,10,,,,,,,,,,,,,,,
3068,2011/3/11,437,4,3,7,Friday,2011,3,11,,,,,,,,,,,,,,,
3069,2011/3/14,635,6,3,5,Monday,2011,3,14,,,,,,,,,,,,,,,
3070,2011/3/15,746,7,4,6,Tuesday,2011,3,15,,,,,,,,,,,,,,,
3071,2011/3/16,402,4,0,2,Wednesday,2011,3,16,,,,,,,,,,,,,,,
3072,2011/3/17,557,5,5,7,Thursday,2011,3,17,,,,,,,,,,,,,,,
3073,2011/3/18,95,0,9,5,Friday,2011,3,18,,,,,,,,,,,,,,,
3074,2011/3/21,138,1,3,8,Monday,2011,3,21,,,,,,,,,,,,,,,
3075,2011/3/22,318,3,1,8,Tuesday,2011,3,22,,,,,,,,,,,,,,,
3076,2011/3/23,261,2,6,1,Wednesday,2011,3,23,,,,,,,,,,,,,,,
3077,2011/3/24,704,7,0,4,Thursday,2011,3,24,,,,,,,,,,,,,,,
3078,2011/3/25,298,2,9,8,Friday,2011,3,25,,,,,,,,,,,,,,,
3079,2011/3/28,335,3,3,5,Monday,2011,3,28,,,,,,,,,,,,,,,
3080,2011/3/29,680,6,8,0,Tuesday,2011,3,29,,,,,,,,,,,,,,,
3081,2011/3/30,352,3,5,2,Wednesday,2011,3,30,,,,,,,,,,,,,,,
3082,2011/3/31,225,2,2,5,Thursday,2011,3,31,,,,,,,,,,,,,,,
3083,2011/4/1,929,9,2,9,Friday,2011,4,1,,,,,,,,,,,,,,,
3084,2011/4/4,643,6,4,3,Monday,2011,4,4,,,,,,,,,,,,,,,
3085,2011/4/5,303,3,0,3,Tuesday,2011,4,5,,,,,,,,,,,,,,,
3086,2011/4/6,763,7,6,3,Wednesday,2011,4,6,,,,,,,,,,,,,,,
3087,2011/4/7,360,3,6,0,Thursday,2011,4,7,,,,,,,,,,,,,,,
3088,2011/4/8,61,0,6,1,Friday,2011,4,8,,,,,,,,,,,,,,,
3089,2011/4/11,495,4,9,5,Monday,2011,4,11,,,,,,,,,,,,,,,
3090,2011/4/12,657,6,5,7,Tuesday,2011,4,12,,,,,,,,,,,,,,,
3091,2011/4/13,200,2,0,0,Wednesday,2011,4,13,,,,,,,,,,,,,,,
3092,2011/4/14,963,9,6,3,Thursday,2011,4,14,,,,,,,,,,,,,,,
3093,2011/4/15,788,7,8,8,Friday,2011,4,15,,,,,,,,,,,,,,,
3094,2011/4/18,504,5,0,4,Monday,2011,4,18,,,,,,,,,,,,,,,
3095,2011/4/19,150,1,5,0,Tuesday,2011,4,19,,,,,,,,,,,,,,,
3096,2011/4/20,929,9,2,9,Wednesday,2011,4,20,,,,,,,,,,,,,,,
3097,2011/4/21,339,3,3,9,Thursday,2011,4,21,,,,,,,,,,,,,,,
3098,2011/4/22,509,5,0,9,Friday,2011,4,22,,,,,,,,,,,,,,,
3099,2011/4/25,657,6,5,7,Monday,2011,4,25,,,,,,,,,,,,,,,
3100,2011/4/26,92,0,9,2,Tuesday,2011,4,26,,,,,,,,,,,,,,,
3101,2011/4/27,66,0,6,6,Wednesday,2011,4,27,,,,,,,,,,,,,,,
3102,2011/4/28,24,0,2,4,Thursday,2011,4,28,,,,,,,,,,,,,,,
3103,2011/4/29,355,3,5,5,Friday,2011,4,29,,,,,,,,,,,,,,,
3104,2011/5/2,606,6,0,6,Monday,2011,5,2,,,,,,,,,,,,,,,
3105,2011/5/3,192,1,9,2,Tuesday,2011,5,3,,,,,,,,,,,,,,,
3106,2011/5/4,807,8,0,7,Wednesday,2011,5,4,,,,,,,,,,,,,,,
3107,2011/5/5,586,5,8,6,Thursday,2011,5,5,,,,,,,,,,,,,,,
3108,2011/5/6,500,5,0,0,Friday,2011,5,6,,,,,,,,,,,,,,,
3109,2011/5/9,869,8,6,9,Monday,2011,5,9,,,,,,,,,,,,,,,
3110,2011/5/10,447,4,4,7,Tuesday,2011,5,10,,,,,,,,,,,,,,,
3111,2011/5/11,671,6,7,1,Wednesday,2011,5,11,,,,,,,,,,,,,,,
3112,2011/5/12,514,5,1,4,Thursday,2011,5,12,,,,,,,,,,,,,,,
3113,2011/5/13,574,5,7,4,Friday,2011,5,13,,,,,,,,,,,,,,,
